"ref_code","ref_source","ref_language","pub_year","ref_info","ref_info_orig","ref_doi","ref_journal_orig","study_id"
"Wu_et_al_2001","CNKI","chinese",2001,"Wu Q., Cai L., Lu J., Dai C., Wang Q. 2001. Studies on the tolerence ability of young sclizothorax prenanti to variance of the water temperature and dissolved oxygen. Journal of Sichuan Institute of Animal Husbandry and Veterinary Medicine, 15(3): 20-22+53","吴青, 蔡礼明, 陆建平, 代昌华, 王强. 2001. 齐口裂腹鱼幼鱼对水温和溶解氧的耐受力研究. 四川畜牧兽医学院学报, 15(03): 20-22+53.",,"四川畜牧兽医学院学报","s_411"
"Fu_et_al_2015","CNKI","chinese",2015,"Fu K., Cao Z., Fu S. 2015. Effects of acclimation temperature on thermal tolerance and hypoxia tolerance in Rhodeus ocellatus. Chinese Journal of Ecology, 34(6): 1586-1590","付康康,曹振东,付世建. 2015. 温度驯化对高体鳑鲏热耐受及低氧耐受能力的影响. 生态学杂志, 34(6): 1586-1590","10.13292/j.1000-4890.2015.0141","生态学杂志","s_137"
"Zhou_et_al_2019","GS","english",2019,"Zhou, L.Y., Fu, S.J., Fu, C., Ling, H. and Li, X.M., 2019. Effects of acclimation temperature on the thermal tolerance, hypoxia tolerance and swimming performance of two endangered fish species in China. Journal of Comparative Physiology B, 189, pp.237-247.",,"10.1007/s00360-018-01201-9","Journal of Comparative Physiology B","s_427"
"Fu_2016","CNKI","chinese",2016,"Fu. 2016. The effects of temperature acclimation on the thermal tolerance, swimming capacity and growth performance of juvenile qingbo (Spinibarbus sinensis). Master Thesis of Chongqing Normal University. Chongqing Normal University, Chongqing, China.","付康康. 2016. 温度驯化对中华倒刺鲃幼鱼热耐受、游泳能力及生长性能的影响. 重庆师范大学硕士学位论文. 重庆师范大学, 重庆, 中国.",,"重庆师范大学硕士学位论文","s_136"
"Pang_2014","CNKI","chinese",2014,"Pang. 2014. Research on the fish eco-physiological (thermal tolerance, metabolism and swimming) response based on temperature changes.","庞旭. 2014. 基于温度变化的鱼类生理生态(热耐受、代谢及游泳)响应研究. 重庆大学博士学位论文. 重庆大学，重庆，中国.",,"重庆大学博士学位论文","s_290"
"Wang_2009","CNKI","chinese",2009,"Wang. 2009. Thermal tolerance and comparison of juvenile Silurus meridionalis Chen, Pelteobagrus vachelli Richardson and Spinibarbus sinensis Bleek. Master Thesis of Chongqing Normal University. Chongqing Normal University, Chongqing, China.","王云松. 2009. 南方鲇、瓦氏黄颡鱼和中华倒刺鲃幼鱼的热 耐受特征及其比较研究. 重庆师范大学硕士学位论文. 重庆师范大学, 重庆, 中国.",,"重庆师范大学硕士学位论文","s_397"
"Nair_et_al_2023","GS","english",2023,"Nair, P., Gibson, J.R., Schwartz, B.F. and Nowlin, W.H., 2023. Temperature responses vary between riffle beetles from contrasting aquatic environments. Journal of Thermal Biology, 112, p.103485.",,,,"s_263"
"Chen_et_al_2022","CNKI","chinese",2022,"Chen R., Ma H. Fu S., Zeng L. 2022.  Effect of heating rate on upper temperature tolerance and group behavior of juvenile Carassius auratus. Journal of Chongqing Normal University (NaturalScience), (2): 31-37","陈荣,马辉煌,付世建,曾令清. 2022. 升温速率对鲫幼鱼耐高温能力和群体行为的影响[J].重庆师范大学学报自然科学版,(2):31-37","10.11721/cqnuj20220217","重庆师范大学学报自然科学版","s_64"
"Ford_&_Beitinger_2005","Cereja_2020","english",2005,"Ford, T. and Beitinger, T.L., 2005. Temperature tolerance in the goldfish, Carassius auratus. Journal of Thermal Biology, 30(2), pp.147-152.",,"10.1016/j.jtherbio.2004.09.004","Journal of Thermal Biology","s_133"
"Fangue_&_Bennett_2003","Cereja_2020","english",2003,"Fangue, N.A. and Bennett, W.A., 2003. Thermal tolerance responses of laboratory-acclimated and seasonally acclimatized Atlantic stingray, Dasyatis sabina. Copeia, 2003(2), pp.315-325.",,"10.1643/0045-8511(2003)003[0315:TTROLA]2.0.CO;2","Copeia","s_127"
"Li_et_al_2022","CNKI","chinese",2022,"Li W., Fu S., Qin L., Zeng L.  2022. Thermal tolerances and collective behavior during water temperature rising in juvenile grass carp (Ctenopharyngodon idellus). Acta Hydrobiologica Sinica, 46(6): 856-864.","李武新, 付世建, 秦丽萍, 曾令清. 2022. 个体大小对草鱼耐高温能力及升温过程中群体行为的影响. 水生生物学报, 46(6): 856-864.","10.7541/2022.2021.099","水生生物学报","s_220"
"Wen_et_al_1998","CNKI","chinese",1998,"Wen Y., Tan Y., Wang W. 1998. Study on the Temperature Tolerance of 5-Day-Old Grass Carp Ctenopharyngodon Idella. Periodical of Ocean University of China, 28 (03):76-81. ","文良印, 谭玉钧, 王武. 1998. 五日龄草鱼的温度耐受性研究. 青岛海洋大学学报(自然科学版), 28 (03):76-81.","10.16441/j.cnki.hdxb.1998.03.012","青岛海洋大学学报(自然科学版)","s_405"
"Rangaswami_et_al_2023","GS","english",2023,"Rangaswami, X.L., Goldsmith, A.M., Khan, J.M., Robertson, C.R., Lopez, R.R. and Randklev, C.R., 2023. Thermal tolerances of Popenaias popeii (Texas hornshell) and its host fish from the Rio Grande Basin, Texas. Scientific Reports, 13(1), p.4603.",,"10.1038/s41598-023-29460-9.","Scientific Reports","s_311"
"Wang_et_al_2008","CNKI","chinese",2008,"Wang Y., Cao Z., Fu S., Wang Y. 2008. Thermal tolerance of juvenile Silurus Meridionalis. Chinese Journal of Ecology, 27(12):2136-2140","王云松,曹振东,付世建, 王宇翔. 2008. 南方鲇幼鱼的热耐受特征. 生态学杂志,27(12):2136-2140.",,"生态学杂志","s_399"
"Ahmadia_2008","Cereja_2020","english",2008,"Ahmadia, G.N., 2008. Effects of Pressure and TMAO on Thermal Tolerance of Pinfish (Lagodon Rhomboides) (Doctoral dissertation, University of West Florida).",,,,"s_5"
"Matthews_1986","Cereja_2020","english",1986,"Matthews, W.J., 1986. Geographic variation in thermal tolerance of a widespread minnow Notropis lutrensis of the North American mid‐west. Journal of Fish Biology, 28(4), pp.407-417.",,"10.1111/j.1095-8649.1986.tb05178.x","Journal of Fish Biology","s_241"
"Rutledge_&_Beitinger_1989","GlobTherm_2018","english",1989,"Rutledge, C.J. and Beitinger, T.L., 1989. The effects of dissolved oxygen and aquatic surface respiration on the critical thermal maxima of three intermittent-stream fishes. Environmental biology of fishes, 24, pp.137-143.",,"10.1007/BF00001283","Environmental biology of fishes","s_329"
"Matthews_&_Maness_1979","GlobTherm_2018","english",1979,"Matthews, W.J. and Maness, J.D., 1979. Critical thermal maxima, oxygen tolerances and success of cyprinid fishes in a southwestern river. American Midland Naturalist, pp.374-377.",,"10.2307/2424665","American Midland Naturalist","s_240"
"Deacon_et_al_1987","Cereja_2020","english",1987,"Deacon, J.E., Schumann, P.B. and Stuenkel, E.L., 1987. Thermal tolerances and preferences of fishes of the Virgin River system (Utah, Arizona, Nevada). The Great Basin Naturalist, pp.538-546.",,,"The Great Basin Naturalist","s_100"
"Smale_&_Rabeni_1995","GlobTherm_2018","english",1995,"Smale, M.A. and Rabeni, C.F., 1995. Hypoxia and hyperthermia tolerances of headwater stream fishes. Transactions of the American Fisheries Society, 124(5), pp.698-710.",,"10.1577/1548-8659(1995)124<0698:HAHTOH>2.3.CO;2","Transactions of the American Fisheries Society","s_344"
"Di_Santo_et_al_2018","Leiva_et_al_2019","english",2018,"Di Santo, V., Jordan, H.L., Cooper, B., Currie, R.J., Beitinger, T.L. and Bennett, W.A., 2018. Thermal tolerance of the invasive red-bellied pacu and the risk of establishment in the United States. Journal of thermal biology, 74, pp.110-115.",,"10.1016/j.jtherbio.2018.03.015","Journal of thermal biology","s_109"
"Quinteros_Soria_2022","GS","spanish",2022,,"Quinteros Soria, A.D., 2022. Incidencia de la temperatura en el comportamiento de Poecilia reticulata, Guppy (Bachelor's thesis, La Libertad: Universidad Estatal Península de Santa Elena, 2022).",,"Bachelor thesis","s_308"
"Chung_2001","Leiva_et_al_2019","english",2001,"Chung, K.S., 2001. Critical thermal maxima and acclimation rate of the tropical guppy Poecilla reticulata. Hydrobiologia, 462, pp.253-257.",,"10.1023/A:1013158904036","Hydrobiologia","s_71"
"Auer_et_al_2021","GS","english",2021,"Auer, S.K., Agreda, E., Chen, A.H., Irshad, M. and Solowey, J., 2021. Late-stage pregnancy reduces upper thermal tolerance in a live-bearing fish. Journal of Thermal Biology, 99, pp.103022-103022.",,"10.1016/j.jtherbio.2021.103022","Journal of Thermal Biology","s_17"
"Zeng_et_al_2008","CNKI","chinese",2008,"Zeng M., Liang Q., Yang S. 2008_Study on the thermal tolerance of rainbow fish. Marine Fisheries, 116 (9), 11-13","曾敏玲, 梁勤朗, 杨淞. 2008. 孔雀鱼的温度耐受初探.海洋与渔业, 116(09): 11-13.","10.3969/j.issn.1672-4046.2008.09.003","海洋与渔业","s_423"
"Grinder_et_al_2020","GS","english",2020,"Grinder, R.M., Bassar, R.D. and Auer, S.K., 2020. Upper thermal limits are repeatable in Trinidadian guppies. Journal of Thermal Biology, 90, p.102597.","Grinder, R.M., Bassar, R.D. and Auer, S.K., 2020. Upper thermal limits are repeatable in Trinidadian guppies. Journal of Thermal Biology, 90, p.102597.","10.1016/j.jtherbio.2020.102597","Journal of Thermal Biology","s_151"
"Dent_&_Lutterschmidt_2003","Leiva_et_al_2019","english",2003,"Dent, L. and Lutterschmidt, W.I., 2003. Comparative thermal physiology of two sympatric sunfishes (Centrarchidae: Perciformes) with a discussion of microhabitat utilization. Journal of Thermal Biology, 28(1), pp.67-74.",,"10.1016/S0306-4565(02)00038-4","Journal of Thermal Biology","s_106"
"Hickman_&_Dewey_1973","GlobTherm_2018","english",1973,"Hickman, G.D. and Dewey, M.R., 1973. Notes on the upper lethal temperature of the duskystripe shiner, Notropis pilsbryi, and the bluegill, Lepomis macrochirus. Transactions of the American Fisheries Society, 102(4), pp.838-840.",,"10.1577/1548-8659(1973)102<838:NOTULT>2.0.CO;2","Transactions of the American Fisheries Society","s_168"
"Pagliaro_&_Knouft_2020","GS","english",2020,"Pagliaro, M.D. and Knouft, J.H., 2020. Differential effects of the urban heat island on thermal responses of freshwater fishes from unmanaged and managed systems. Science of the total environment, 723, p.138084.",,"10.1016/j.scitotenv.2020.138084","Science of the Total Environment","s_285"
"Sparks_2020","GS","english",2020,"Sparks, R.W., 2020. Seasonal Temperature Changes in Three Midwestern Wastewater Streams and the Effects on Fish Assemblages and Physiology.",,,,"s_350"
"Nikel_et_al_2021","GS","english",2021,"Nikel, K.E., McCallum, E.S., Mehdi, H., Du, S.N., Bowman, J.E., Midwood, J.D., Scottb, G.R. and Balshine, S., 2021. Fish living near two wastewater treatment plants have unaltered thermal tolerance but show changes in organ and tissue traits. Journal of Great Lakes Research, 47, pp.522-533.",,"10.1016/j.jglr.2021.01.017","Journal of Great Lakes Research","s_269"
"Logarbo_and_Bonvillain_2020","GS","english",2020,"Logarbo, J.R. and Bonvillain, C.P., 2020. Thermal stress responses of two sympatric crayfishes in Louisiana, Procambarus clarkii Girard, 1852 and Procambarus zonangulus Hobbs & Hobbs, 1990 (Decapoda: Astacoidea: Cambaridae). The Journal of Crustacean Biology, 40(6), pp.734-738.",,"10.1093/jcbiol/ruaa066","The Journal of Crustacean Biology","s_222"
"Payette_&_McGaw_2003","GlobTherm_2018","english",2003,"Payette, A.L. and McGaw, I.J., 2003. Thermoregulatory behavior of the crayfish Procambarus clarki in a burrow environment. Comparative Biochemistry and Physiology Part A: Molecular & Integrative Physiology, 136(3), pp.539-556.",,"10.1016/S1095-6433(03)00203-4","Comparative Biochemistry and Physiology Part A: Molecular & Integrative Physiology","s_293"
"Fangue_et_al_2006","Leiva_et_al_2019","english",2006," Fangue NA, Hofmeister M, Schulte PM. 2006 Intraspecific variation in thermal tolerance and heat shock protein gene expression in common killifish, Fundulus heteroclitus. J. Exp. Biol. 209, 2859–2872.",,"10.1242/jeb.02260","The Journal of experimental biology","s_128"
"Puckett_&_Cook_2004","GS","english",2004,"Puckett, R.T. and Cook, J.L., 2004. Physiological tolerance ranges of larval Caenis latipennis (Ephemeroptera: Caenidae) in response to fluctuations in dissolved oxygen concentration, pH and temperature. Texas Journal of Science, 56(2), pp.123-130.",,,"Texas Journal of Science","s_305"
"Kangarloei_et_al_2021","GS","english",2021,"Kangarloei, B.A., Agh, N., Mertens, J. and Beladjal, L., 2021. Locomotor activity in Branchipus schaefferi (Fischer, 1834)(Branchiopoda: Anostraca) under thermal variation. Nauplius, 29.",,"10.1590/2358-2936e2021029","Nauplius","s_192"
"Yen_Ortega_et_al_2021","GS","english",2021,"Yen-Ortega, E.E., Correa-Reyes, J.G. and Hernández-Rodríguez, M., 2021. Growth, thermal preference and critical thermal maximum for Totoaba macdonaldi: effect of acclimation temperature and inclusion of soybean meal in the diet. Latin american journal of aquatic research, 49(2), pp.258-271.","Yen-Ortega, E.E., Correa-Reyes, J.G. and Hernández-Rodríguez, M., 2021. Growth, thermal preference and critical thermal maximum for Totoaba macdonaldi: effect of acclimation temperature and inclusion of soybean meal in the diet. Latin american journal of aquatic research, 49(2), pp.258-271.","http://dx.doi.org/10.3856/vol49-issue2-fulltext-2563","Latin american journal of aquatic research","s_416"
"Ortega_2020","GS","spanish",2020,,"Ortega, E.E.Y., 2020. Desempeño biológico de juveniles de Totoaba macdonaldi aclimatados a diferentes temperaturas y alimentados con distintos niveles de inclusión de harina de soya en la dieta.",,"Doctoral thesis","s_276"
"Garten_&_Gentry_1976","Leiva_et_al_2019","english",1976,"Garten Jr, C.T. and Gentry, J.B., 1976. Thermal tolerance of dragonfly nymphs. II. Comparison of nymphs from control and thermally altered environments. Physiological Zoology, 49(2), pp.206-213.",,"10.1086/physzool.49.2.30152541","Physiological Zoology","s_141"
"Araujo_2004","GS","spanish",2004,,"Araujo, A.D.R., 2004. Fisiología termorreguladora, osmorreguladora y energética en el camarón azul Litopenaeus stylirostris (Stimpson)(Crustacea: Penaidae) (Doctoral dissertation, Tesis de Doctorado en Ciencias de la vida, CICESE).",,"Doctoral thesis","s_12"
"Mendez_2006","GS","spanish",2006,,"Méndez, J.L.E., 2006. Comportamiento termorregulador del lenguado de California Paralichthys californicus (Ayres, 1859).",,"Doctoral thesis","s_252"
"Romo_2018","GS","spanish",2018,,"Romo, E.Z., 2018. Caracterización fisiológica y metabólica de la tilapia tetra híbrida Pargo UNAM a diferentes temperaturas y salinidades de aclimatación. Centro de Investigación Científica y de Educación Superior de Ensenada, Baja California.",,"Doctoral thesis","s_324"
"Soriano_2018","GS","spanish",2018,,"Soriano, E., 2018. Estudio sobre la fisiología térmica, metabolismo respiratorio y nutrición de Seriola lalandi.",,"Doctoral thesis","s_349"
"Cortemeglia_&_Beitinger_2008","GlobTherm_2018","english",2008,"Cortemeglia, C. and Beitinger, T.L., 2008. Temperature tolerance of green sunfish (Lepomis cyanellus). The Texas Journal of Science, 60(3), pp.179-189.",,,"The Texas Journal of Science","s_81"
"Currie_et_al_1998","Leiva_et_al_2019","english",1998,"Currie, R.J., Bennett, W.A. and Beitinger, T.L., 1998. Critical thermal minima and maxima of three freshwater game-fish species acclimated to constant temperatures. Environmental Biology of fishes, 51, pp.187-200.",,"10.1023/A:1007447417546","Environmental Biology of fishes","s_86"
"Davis_2019","GS","english",2019,"Davis, B.E., Cocherell, D.E., Sommer, T., Baxter, R.D., Hung, T.C., Todgham, A.E. and Fangue, N.A., 2019. Sensitivities of an endemic, endangered California smelt and two non-native fishes to serial increases in temperature and salinity: implications for shifting community structure with climate change. Conservation physiology, 7(1), p.coy076.",,"10.1093/conphys/coy076","Conservation Physiology","s_97"
"White_&_Wahl_2019","GS","english",2019,"White, D.P. and Wahl, D.H., 2019. Growth and physiological responses in largemouth bass populations to environmental warming: Effects of inhabiting chronically heated environments. Journal of Thermal Biology, 88, pp.102467-102467.",,"10.1016/j.jtherbio.2019.102467","Journal of Thermal Biology","s_406"
"Watenpaugh_&_Beitinger_1984","Cereja_2020","english",1984,"Watenpaugh, D.E. and Beitinger, T.L., 1985. Se exposure and temperature tolerance of fathead minnows, Pimephales promelas. Journal of thermal biology, 10(2), pp.83-86.",,"10.1016/0306-4565(85)90030-0","Journal of thermal biology","s_403"
"Dai_et_al_2022","GS","english",2022,"Dai, Q., Hostert, L.E., Rondon, J.K., Cao, Y. and Suski, C.D., 2022. Thermal tolerance of fish to heatwaves in agricultural streams: What does not kill you makes you stronger?. Freshwater Biology, 67(10), pp.1801-1814.",,"10.1111/fwb.13976","Freshwater Biology","s_89"
"Salinas_et_al_2019","GS","english",2019,"Salinas, S., Irvine, S.E., Schertzing, C.L., Golden, S.Q. and Munch, S.B., 2019. Trait variation in extreme thermal environments under constant and fluctuating temperatures. Philosophical Transactions of the Royal Society B, 374(1768), p.20180177.",,"10.1098/rstb.2018.0177.","Philosophical Transactions of the Royal Society B: Biological Sciences","s_331"
"Hirakawa_&_Salinas_2020","GS","english",2020,"Hirakawa, K.A. and Salinas, S., 2020. Domesticated and wild fathead minnows differ in growth and thermal tolerance. Journal of thermal biology, 94, p.102784.",,"10.1016/j.jtherbio.2020.102784","Journal of thermal biology","s_170"
"Kaya_et_al_1992","Leiva_et_al_2019","english",1992," Kaya CM, Brussard PF, Cameron DG, Vyse ER. 1992 Biochemical Genetics and Thermal Tolerances of Kendall Warm Springs Dace (Rhinichthys osculus thermalis) and Green River Speckled Dace (R. o. yarrowi). Copeia 1992, 528–535. (",,"10.2307/1446213","Copeia","s_194"
"Doudoroff_1945","GlobTherm_2018","english",1945,"Doudoroff, P., 1945. The resistance and acclimatization of marine fishes to temperature changes. II. Experiments with Fundulus and Atherinops. The Biological Bulletin, 88(2), pp.194-206.",,"10.2307/1538044","The Biological Bulletin","s_112"
"Moulton_et_al_1993","GS","english",1993,"Moulton, S.R., Beitinger, T.L., Stewart, K.W. and Currie, R.J., 1993. Upper temperature tolerance of four species of caddisflies (Insecta: Trichoptera). Journal of Freshwater Ecology, 8(3), pp.193-198.",,"10.1080/02705060.1993.9664854","Journal of Freshwater Ecology","s_259"
"Sumner_&_Doudoroff_1938","GlobTherm_2018","english",1938,"Sumner, F.B. and Doudoroff, P., 1938. Some experiments upon temperature acclimatization and respiratory metabolism in fishes. The Biological Bulletin, 74(3), pp.403-429.",,"10.2307/1537814","The Biological Bulletin","s_359"
"Ziegeweid_et_al_2007","Cereja_2020","english",2007,"Ziegeweid, J.R., Jennings, C.A. and Peterson, D.L., 2008. Thermal maxima for juvenile shortnose sturgeon acclimated to different temperatures. Environmental Biology of Fishes, 82, pp.299-307.",,"10.1007/s10641-007-9292-8","Environmental Biology of Fishes","s_431"
"Bard_&_Kieffer_2018","GS","english",2018,"Bard, B. and Kieffer, J.D., 2019. The effects of repeat acute thermal stress on the critical thermal maximum (CTmax) and physiology of juvenile shortnose sturgeon (Acipenser brevirostrum). Canadian Journal of Zoology, 97(6), pp.567-572.","Bard, B. and Kieffer, J.D., 2019. The effects of repeat acute thermal stress on the critical thermal maximum (CTmax) and physiology of juvenile shortnose sturgeon (Acipenser brevirostrum). Canadian Journal of Zoology, 97(6), pp.567-572.","10.1139/cjz-2018-0157","Canadian Journal of Zoology","s_22"
"Zhang_&_Kieffer_2014","Cereja_2020","english",2014,"Zhang, Y. and Kieffer, J.D., 2014. Critical thermal maximum (CTmax) and hematology of shortnose sturgeons (Acipenser brevirostrum) acclimated to three temperatures. Canadian Journal of Zoology, 92(3), pp.215-221.",,"10.1139/cjz-2013-0223","Canadian Journal of Zoology","s_425"
"Cooper_et_al_2019","GS","english",2019,"Cooper, C.J., Mueller, C.A. and Eme, J., 2019. Temperature tolerance and oxygen consumption of two South American tetras, Paracheirodon innessi and Hyphessobrycon herbertaxelrodi. Journal of Thermal Biology, 86, p.102434.",,"10.1016/j.jtherbio.2019.102434","Journal of Thermal Biology","s_79"
"Ostrand_&_Wilde_2001","Cereja_2020","english",2001,"Ostrand, K.G. and Wilde, G.R., 2001. Temperature, dissolved oxygen, and salinity tolerances of five prairie stream fishes and their role in explaining fish assemblage patterns. Transactions of the American Fisheries Society, 130(5), pp.742-749.",,"10.1577/1548-8659(2001)130<0742:TDOAST>2.0.CO;2","Transactions of the American Fisheries Society","s_277"
"Jung_2018","Leiva_et_al_2019","english",2018," Jung HE. 2018 The relationship between thermal tolerance and hypoxia tolerance in Amazonian fishes. PhD Thesis, University of British Columbia.",,,"PhD thesis","s_189"
"Walsh_et_al_1997","Leiva_et_al_2019","english",1997," Walsh SJ, Haney DC, Timmerman CM. 1997 Variation in thermal tolerance and routine metabolism among spring-and stream dwelling freshwater sculpins (Teleostei: Cottidae) of the southeastern United States. Ecol. Freshw. Fish 6, 84–94.",,,"Ecology of Freshwater Fish","s_394"
"Watenpaugh_et_al_1985","Cereja_2020","english",1985,"Watenpaugh, D.E., Beitinger, T.L. and Huey, D.W., 1985. Temperature tolerance of nitrite?exposed channel catfish. Transactions of the American Fisheries Society, 114(2), pp.274-278.",,"10.1577/1548-8659(1985)114<274:TTONCC>2.0.CO;2","Transactions of the American Fisheries Society","s_404"
"Campos_et_al_2019","GS","english",2019,"Campos, D.F., Braz-Mota, S., Val, A.L. and Almeida-Val, V.M.F., 2019. Predicting thermal sensitivity of three Amazon fishes exposed to climate change scenarios. Ecological Indicators, 101, pp.533-540.","Campos, D.F., Braz-Mota, S., Val, A.L. and Almeida-Val, V.M.F., 2019. Predicting thermal sensitivity of three Amazon fishes exposed to climate change scenarios. Ecological Indicators, 101, pp.533-540.","10.1016/j.ecolind.2019.01.051","Ecological Indicators","s_57"
"Campos_et_al_2018","Leiva_et_al_2019","english",2018,"Campos, D.F.D., Val, A.L. and Almeida-Val, V.M.F., 2018. The influence of lifestyle and swimming behavior on metabolic rate and thermal tolerance of twelve Amazon forest stream fish species. Journal of Thermal biology, 72, pp.148-154.",,"10.1007/s10750-016-2649-2","Journal of Thermal biology","s_56"
"McFarlane_et_al_1976_in_Beitinger_et_al_2000","GlobTherm_2018","english",1976,"McFarlane, R.W., Moore, B.C. and Williams, S.E., 1976. Thermal tolerance of stream cyprinid minnows (No. CONF-750425--).",,,,"s_248"
"Otto_1974","Leiva_et_al_2019","english",1974," Otto RG. 1974 The effects of acclimation to cyclic thermal regimes on heat tolerance of the western mosquitofish. Trans. Am. Fish. Soc. 103, 331–335.",,,"Transactions of the American Fisheries Society","s_281"
"Meffe_et_al_1995","GlobTherm_2018","english",1995,"Meffe, G.K., Weeks, S.C., Mulvey, M. and Kandl, K.L., 1995. Genetic differences in thermal tolerance of eastern mosquitofish (Gambusia holbrooki; Poeciliidae) from ambient and thermal ponds. Canadian Journal of Fisheries and Aquatic Sciences, 52(12), pp.2704-2711.",,"10.1139/f95-259","Canadian Journal of Fisheries and Aquatic Sciences","s_251"
"O’Steen_&_Bennett_2003","Cereja_2020","english",2003,"O'Steen, S. and Bennett, A.F., 2003. Thermal acclimation effects differ between voluntary, maximum, and critical swimming velocities in two cyprinid fishes. Physiological and Biochemical Zoology, 76(4), pp.484-496.",,"10.1086/376421","Physiological and Biochemical Zoology","s_284"
"Elliot _&_Elliot_1995","Cereja_2020","english",1995,"Elliott, J.M. and Elliott, J.A., 1995. The effect of the rate of temperature increase on the critical thermal maximum for parr of Atlantic salmon and brown trout. Journal of fish biology, 47(5), pp.917-919.",,"10.1111/j.1095-8649.1995.tb06014.x","Journal of fish biology","s_117"
"Desforges_et_al_2021","GS","english",2021,"Desforges, J.E., Birnie-Gauvin, K., Aarestrup, K. and Cooke, S.J., 2021. Upper thermal tolerance indicated by CTmax fails to predict migration strategy and timing, growth, and predation vulnerability in juvenile brown trout (Salmo trutta). Physiological and Biochemical Zoology, 94(4), pp.215-227","Desforges, J.E., Birnie-Gauvin, K., Aarestrup, K. and Cooke, S.J., 2021. Upper thermal tolerance indicated by CTmax fails to predict migration strategy and timing, growth, and predation vulnerability in juvenile brown trout (Salmo trutta). Physiological and Biochemical Zoology, 94(4), pp.215-227","10.1086/714636","Physiological and Biochemical Zoology","s_108"
"O'Donnell_et_al_2020","GS","english",2020,"O'Donnell, M.J., Regish, A.M., McCormick, S.D. and Letcher, B.H., 2020. How repeatable is CTmax within individual brook trout over short-and long-time intervals?. Journal of Thermal Biology, 89, p.102559.","O'Donnell, M.J., Regish, A.M., McCormick, S.D. and Letcher, B.H., 2020. How repeatable is CTmax within individual brook trout over short-and long-time intervals?. Journal of Thermal Biology, 89, p.102559.","10.1016/j.jtherbio.2020.102559","Journal of Thermal Biology","s_271"
"Stewart_et_al_2023","GS","english",2023,"Stewart, E.M., Frasca, V.R., Wilson, C.C. and Raby, G.D., 2023. Short-term acclimation dynamics in a coldwater fish. Journal of Thermal Biology, 112, p.103482.","Stewart, E.M., Frasca, V.R., Wilson, C.C. and Raby, G.D., 2023. Short-term acclimation dynamics in a coldwater fish. Journal of Thermal Biology, 112, p.103482.","10.1016/j.jtherbio.2023.103482","Journal of Thermal Biology","s_356"
"Penney_et_al_2022","GS","english",2022,"Penney, C.M., Tabh, J.K., Wilson, C.C. and Burness, G., 2022. Within-Generation and Transgenerational Plasticity of a Temperate Salmonid in Response to Thermal Acclimation and Acute Temperature Stress. Physiological and Biochemical Zoology, 95(6), pp.484-499.","Penney, C.M., Tabh, J.K., Wilson, C.C. and Burness, G., 2022. Within-Generation and Transgenerational Plasticity of a Temperate Salmonid in Response to Thermal Acclimation and Acute Temperature Stress. Physiological and Biochemical Zoology, 95(6), pp.484-499.","10.1086/721478","Physiological and Biochemical Zoology","s_296"
"Dixon_et_al_2023","GS","english",2023,"Dixon, T.A.M., Rhyno, E.L.M., El, N., McGaw, S.P., Otley, N.A., Parker, K.S., Buldo, E.C., Pabody, C.M., Savoie, M., Cockshutt, A. and Morash, A.J., 2023. Taurine depletion impairs cardiac function and affects tolerance to hypoxia and high temperatures in brook char (Salvelinus fontinalis). Journal of Experimental Biology, 226(4), p.jeb245092.",,"10.1242/jeb.245092","Journal of Experimental Biology","s_110"
"Christen_et_al_2020","GS","english",2020,"Christen, F., Dufresne, F., Leduc, G., Dupont-Cyr, B.A., Vandenberg, G.W., Le François, N.R., Tardif, J.C., Lamarre, S.G. and Blier, P.U., 2020. Thermal tolerance and fish heart integrity: fatty acids profiles as predictors of species resilience. Conservation Physiology, 8(1), p.coaa108.",,"10.1093/conphys/coaa108.","Conservation Physiology","s_68"
"Habel_1970","GS","english",1970,"Habel, M.L., 1970. Oxygen consumption, temperature tolerance, and filtration rate of the introduced Asiatic Clam Corbicula manilensis from the Tennessee River (Master's thesis, Auburn University).",,,,"s_155"
"Falfushynska_et_al_2016","GS","english",2016,"Falfushynska, H.I., Phan, T. and Sokolova, I.M., 2016. Long-term acclimation to different thermal regimes affects molecular responses to heat stress in a freshwater clam Corbicula fluminea. Scientific Reports, 6(1), pp.1-17.",,"10.1038/srep39476","Scientific Reports","s_126"
"Mattice_&_Dye_1976","GS","english",1976,"Mattice, J.S. and Dye, L.L., 1976. Thermal tolerance of the adult Asiatic clam Corbicula manilensis (Mollusca: Bivalvia) (No. CONF-750425-5). Oak Ridge National Lab., Tenn.(USA).",,,,"s_242"
"Kowalski_et_al_1978","GlobTherm_2018","english",1978,"Kowalski, K.T., Schubauer, J.P., Scott, C.L. and Spotila, J.R., 1978. Interspecific and seasonal differences in the temperature tolerance of stream fish. Journal of Thermal Biology, 3(3), pp.105-108.",,"10.1016/0306-4565(78)90001-3","Journal of Thermal Biology","s_205"
"Feldmeth_&_Baskin_1976","GlobTherm_2018","english",1976,"Feldmeth, C.R. and Baskin, J.N., 1976. Thermal and respiratory studies with reference to temperature and oxygen tolerance for the unarmored stickleback Gasterosteus aculeatus williamsoni Hubbs. Bulletin, Southern California Academy of Sciences, 75(2), pp.127-131.",,,"Bulletin, Southern California Academy of Sciences","s_129"
